gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
335,827,2017-03-06,18:10:20,12.657384,10.001480,10.708657,1,819.036050,18:10:20,348.1560363769531,-3.006988525390625,-0.3995361328125,0.2773821353912354,34.05887786076212,-118.2841928683774,80.3411913112364,5,-0.4975162536006461,0.08112538200592591,-0.1305264097955086,-0.47854535298531864,-0.00501147770854856,-0.11819486359680577,1.930816650390625,-3.006988525390625,-0.3995361328125,0.003774764529078312,0.003208310165218458,-0.02982660526056044,seonkim
335,828,2017-03-06,18:10:20,12.657384,10.001480,8.640624,1,819.036050,18:10:20,348.1394348144531,-3.007568359375,-0.77374267578125,0.2773821353912354,34.05887786076212,-118.2841928683774,80.3411913112364,5,-0.3544158527164497,-0.1366511494693958,-0.1384802106762297,-0.445010997411161,-0.040574752763485475,-0.12367507612028443,2.006378173828125,-3.007568359375,-0.77374267578125,0.005443501268121963,0.0746233716406743,-0.04512034045255849,seonkim
335,829,2017-03-06,18:10:20,12.657384,10.001480,6.824368,1,819.036050,18:10:20,348.3111267089844,-2.55780029296875,-0.77081298828125,0.2773821353912354,34.05887786076212,-118.2841928683774,80.3411913112364,5,-0.611993444957539,0.08243275083105,-0.1216950198640495,-0.49012234288934575,-0.007343511560598329,-0.12314015162280725,2.458160400390625,-2.55780029296875,-0.77081298828125,-0.003950266844914534,-0.02132952348655363,0.03498781145313401,seonkim
335,830,2017-03-06,18:10:20,12.657384,10.001480,5.277545,1,819.036050,18:10:20,348.1866149902344,-2.857421875,-0.62359619140625,0.2773821353912354,34.05887786076212,-118.2841928683774,80.3411913112364,5,-0.3136925938741524,-0.079243186685445,-0.1037328439387617,-0.4424587502339365,-0.026767655427128667,-0.11789714689625809,2.081756591796875,-2.857421875,-0.62359619140625,-0.04692915946494031,0.06723017013850532,-0.05042136260236121,seonkim
337,831,2017-03-06,18:10:21,9.454134,7.881601,4.555279,1,823.262427,18:10:21,347.9600219726562,-3.307159423828125,-0.70379638671875,0.2773821353912354,34.05891586609717,-118.2841933758755,80.15425057659965,5,-0.5782494804546692,0.022127583837213,-0.04876232766214572,-0.4791434595176538,-0.013558302808916529,-0.09921994602353953,1.40509033203125,-3.307159423828125,-0.70379638671875,-0.0338852627618412,0.03095658451108107,-0.01206625026693101,seonkim
337,832,2017-03-06,18:10:21,9.454134,7.881601,3.193909,1,823.262427,18:10:21,347.8103332519531,-2.932403564453125,-0.6998291015625,0.2773821353912354,34.05891586609717,-118.2841933758755,80.15425057659965,5,-0.4040200476689227,-0.0833334045550542,-0.0913693372329751,-0.45884840314972736,-0.03240847997961151,-0.09709905529179444,1.93157958984375,-2.932403564453125,-0.6998291015625,-0.03468208055999291,0.001096157104676615,0.02396312348853298,seonkim
337,833,2017-03-06,18:10:21,9.454134,7.881601,3.586223,1,823.262427,18:10:21,347.5672302246094,-3.007171630859375,-0.55029296875,0.2773821353912354,34.05891586609717,-118.2841933758755,80.15425057659965,5,-0.5414219351253133,0.04107977601361128,0.0255429503846776,-0.48115615574911363,-0.012555171123428913,-0.06396655562189829,1.856048583984375,-3.007171630859375,-0.55029296875,-0.008419051154067495,0.009605489419697796,-0.005401955955116727,seonkim
337,834,2017-03-06,18:10:21,9.454134,7.881601,3.375807,1,823.262427,18:10:21,347.3893737792969,-3.90606689453125,-0.26068115234375,0.2773821353912354,34.05891586609717,-118.2841933758755,80.15425057659965,5,-0.3825627876840929,-0.05823034333412515,-0.01463904597120985,-0.45452054491700106,-0.024894602624455524,-0.050640422473606415,0.502044677734375,-3.90606689453125,-0.26068115234375,-0.04177833960061805,0.01923255044422523,0.006912767241518679,seonkim
337,835,2017-03-06,18:10:21,9.454134,7.881601,3.550056,1,823.262427,18:10:21,347.6353454589844,-3.98126220703125,-0.25665283203125,0.2773821353912354,34.05891586609717,-118.2841933758755,80.15425057659965,5,-0.5583439427444725,0.008324667399150137,0.01100534156940136,-0.48256908077771327,-0.015920210473737012,-0.033986436381814325,0.876739501953125,-3.98126220703125,-0.25665283203125,-0.006065882014873481,0.01813399649456755,-0.01489399471237715,seonkim
339,836,2017-03-06,18:10:22,5.213100,5.606659,3.279436,1,825.592892,18:10:22,347.5824890136719,-4.206451416015625,-0.483154296875,0.2773821353912354,34.05893682259674,-118.2841936561454,80.24657478428364,5,-0.4106603123698185,-0.07406934909673513,-0.01865267118199247,-0.4631424803042812,-0.031629561487725194,-0.029843924461701234,0.65118408203125,-4.206451416015625,-0.483154296875,-0.0009520800897033277,0.02771205535503753,0.0002575276774106624,seonkim
